<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MTSS,D,20210513,000000,323.0500000,324.1000000,321.3000000,323.9000000,4212230
MTSS,D,20210514,000000,323.9500000,326.3500000,321.9500000,325.5000000,4327150
MTSS,D,20210517,000000,325.5500000,328.4000000,325.0000000,328.1500000,3845560
MTSS,D,20210518,000000,328.5000000,335.0000000,328.0500000,333.9000000,6021550
MTSS,D,20210519,000000,334.2000000,337.7000000,332.5000000,337.4000000,5508450
MTSS,D,20210520,000000,337.0000000,338.4000000,333.1500000,334.0000000,3797710
MTSS,D,20210521,000000,334.5000000,336.7500000,331.9000000,333.7000000,2567660
MTSS,D,20210524,000000,334.1000000,336.0000000,333.2500000,334.2000000,1872730
MTSS,D,20210525,000000,334.5000000,337.2000000,333.4500000,335.0500000,3330610
MTSS,D,20210526,000000,335.2000000,336.5500000,335.0500000,335.7500000,2721650
MTSS,D,20210527,000000,335.9000000,336.9000000,334.6500000,335.4500000,2389960
MTSS,D,20210528,000000,335.9500000,336.9000000,334.9000000,336.0000000,2504060
MTSS,D,20210531,000000,336.0500000,339.3500000,335.7000000,338.7500000,2796150
MTSS,D,20210601,000000,338.9500000,340.0000000,336.6500000,338.4500000,3474540
MTSS,D,20210602,000000,338.0500000,339.6000000,338.0500000,339.2500000,2656380
MTSS,D,20210603,000000,340.0000000,341.7000000,337.5000000,338.9000000,4389620
MTSS,D,20210604,000000,338.9000000,340.9000000,336.7500000,340.6000000,3519170
MTSS,D,20210607,000000,340.7000000,341.4000000,339.1000000,340.9000000,2744660
MTSS,D,20210608,000000,341.0000000,343.0000000,340.6000000,343.0000000,2770920
MTSS,D,20210609,000000,343.0000000,343.9000000,341.5000000,342.5000000,3245670
MTSS,D,20210610,000000,342.3500000,344.3500000,342.0500000,343.2000000,2024350
MTSS,D,20210611,000000,343.6000000,343.9000000,340.6000000,342.4000000,3016840
MTSS,D,20210614,000000,342.5500000,344.9500000,342.0500000,344.4500000,2567890
MTSS,D,20210615,000000,344.3500000,346.0000000,343.5500000,344.7000000,3912670
MTSS,D,20210616,000000,344.2000000,346.3500000,342.3000000,344.9500000,3599510
MTSS,D,20210617,000000,344.9500000,345.2000000,341.8000000,343.9500000,4743870
MTSS,D,20210618,000000,343.6000000,343.9000000,339.7000000,341.3000000,4567370
MTSS,D,20210621,000000,340.4000000,342.6500000,339.1000000,342.6500000,3627570
MTSS,D,20210622,000000,342.7000000,343.6000000,340.7000000,342.2500000,2074050
MTSS,D,20210623,000000,343.3000000,343.4000000,340.4500000,341.8000000,2559060
MTSS,D,20210624,000000,341.8000000,341.9500000,338.5500000,339.1500000,3432850
MTSS,D,20210625,000000,339.2000000,342.5000000,339.1500000,341.9000000,2693210
MTSS,D,20210628,000000,342.3500000,343.3500000,341.3500000,342.0000000,2121690
